regime1,regime2,n,phylometric,statistic,p,epoch,mut_distn
plain,8 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.exponential
plain,8 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
plain,weak 4 niche ecology,50,colless_like_index,122.0,6.482283621094172e-07,2,np.random.exponential
plain,weak 4 niche ecology,50,mean_pairwise_distance,85.0,9.63712911922847e-08,2,np.random.exponential
plain,weak 4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.exponential
plain,weak 4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.exponential
8 niche ecology,4 niche ecology,50,colless_like_index,2.0,8.53422673646545e-10,2,np.random.standard_normal
8 niche ecology,4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
8 niche ecology,4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
8 niche ecology,4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.standard_normal
8 niche ecology,plain,50,colless_like_index,0.0,7.556929455863566e-10,2,np.random.standard_normal
8 niche ecology,plain,50,mean_pairwise_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
8 niche ecology,plain,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
8 niche ecology,plain,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.standard_normal
8 niche ecology,weak 4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,2,np.random.standard_normal
8 niche ecology,weak 4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
8 niche ecology,weak 4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
8 niche ecology,weak 4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.standard_normal
plain,4 niche ecology,50,colless_like_index,2.0,8.53422673646545e-10,2,np.random.standard_normal
plain,4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
plain,4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
plain,4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.standard_normal
weak 4 niche ecology,4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,2,np.random.standard_normal
weak 4 niche ecology,4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
weak 4 niche ecology,4 niche ecology,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
weak 4 niche ecology,4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.standard_normal
weak 4 niche ecology,plain,50,colless_like_index,121.0,6.166815818239549e-07,2,np.random.standard_normal
weak 4 niche ecology,plain,50,mean_pairwise_distance,115.0,4.5628539597638217e-07,2,np.random.standard_normal
weak 4 niche ecology,plain,50,sum_distance,0.0,7.556929455863566e-10,2,np.random.standard_normal
weak 4 niche ecology,plain,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,2,np.random.standard_normal
4 niche ecology,plain,50,colless_like_index,458.0,0.08313770889364551,7,np.random.exponential
4 niche ecology,plain,50,mean_pairwise_distance,456.0,0.0797617584041863,7,np.random.exponential
4 niche ecology,plain,50,sum_distance,0.0,7.556929455863566e-10,7,np.random.exponential
4 niche ecology,plain,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,7,np.random.exponential
