id,ancestor_list,origin_time,destruction_time,taxon_label,ancestor_id
84889,[79835],32767.0,32769.0,Inner+r=32767+d=-+uid=BpFcBG-W1vazIhoLpkzuxM,79835
84892,[81877],32767.0,32769.0,Inner+r=32767+d=t+uid=CcZkpH5jeO4S2dNlISi1Dk,81877
84893,[81877],32767.0,32769.0,Inner+r=32767+d=B+uid=CfEo7Ye-85qfo5EqA-7ZIC,81877
84895,[79839],32767.0,32769.0,Inner+r=32767+d=DC+uid=BmF8r3n91ulkocoAc0Q7HY,79839
84896,[81880],32767.0,32769.0,Inner+r=32767+d=Bs+uid=C1UtsKE_Dk0Fg5Z0zNQ_3K,81880
84898,[81881],32767.0,32769.0,Inner+r=32767+d=DA+uid=BmnD0CmUN3DpaGAhxaPPMZ,81881
84899,[81881],32767.0,32769.0,Inner+r=32767+d=Bz+uid=CI_bb8CtEj90vubXbqI9Ts,81881
84900,[81881],32767.0,32769.0,Inner+r=32767+d=BC+uid=2yIEkHbpF9ez2sVBUodee,81881
84901,[81882],32767.0,32769.0,Inner+r=32767+d=Ci+uid=CFJhUSuEKEWnBQfdCg1PNk,81882
84902,[81882],32767.0,32769.0,Inner+r=32767+d=Bl+uid=DuXrDOE3rdoxJKbtDS8CwY,81882
84903,[81882],32767.0,32769.0,Inner+r=32767+d=Dq+uid=FK5XQYFeJ7PnS4nAEoUlu,81882
84905,[78252],32767.0,32769.0,Inner+r=32767+d=BB+uid=DiDHg4m878-sLlDHoklj1u,78252
84907,[61500],32767.0,32769.0,Inner+r=32767+d=DD+uid=p524QeVo4ZIb3XEwgDQjO,61500
84908,[81886],32767.0,32769.0,Inner+r=32767+d=Dr+uid=Bv2nSgfvkns7vUt_CoeFvg,81886
84910,[81886],32767.0,32769.0,Inner+r=32767+d=f+uid=fswx6mCsU8wD2CZKqhLy7,81886
84911,[81887],32767.0,32769.0,Inner+r=32767+d=5+uid=D3ZkTtYf7oeZqnnyCRIzBb,81887
84913,[81888],32767.0,32769.0,Inner+r=32767+d=y+uid=DBxPRQFx8gfTur1ppa8V2X,81888
84914,[81888],32767.0,32769.0,Inner+r=32767+d=C1+uid=CL7rA4WB5BKhEuVe90Mb-o,81888
