id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,sequence
13006321,[13004725],52771,52839,0,1,1,3600,3259,xwqjagcyhaoylocyzblalubcbsdsovpbnbalkotzwtynmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcwvzyyfvovvdxwyyponazvvvvfcajvvgabrd
13002663,[12998030],52757,52780,0,1,1,3600,3257,xwqjagcyhaoylocyzblalubcbsdsovpbnbalkotzwtynmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcwvzyyfvovvdxwyyponazvvvvfcajvvgabrd
12998030,[12996103],52739,52773,0,1,1,3600,3256,xwqjagcyhaoylocyzblalubcbsdsovpbnbalkotzwtynmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcwvzyyfvovvdxwyyponazvvvvfcajvvgabrd
12996103,[12994547],52732,52751,0,1,1,3600,3255,xwqjagcyhaoylocyzblalubcbsdsovpbnbahkotzwtynmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcwvzyyfvovvdxwyyponazvvvvfcajvvgabrd
12994547,[12992759],52725,52740,0,1,1,3600,3254,xwqjagcyhaoylocyzblalubcbsdsovpbnbahkotzwtynmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcwvzyyfvovvdxwyyponazvvvvfcajvvgabrv
12992759,[12991071],52718,52740,0,1,1,3600,3253,xwqjagcyhaoylocyzblalubcbsdsovpbnbahkotzwtynmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrv
12991071,[12989195],52711,52737,0,1,1,3600,3252,xwqjagcyhaoylocyzblahubcbsdswvpbnbahkotzwtynmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrv
12989195,[12974939],52704,52727,0,1,1,3600,3251,xwqjagcyhaoylocyzblahubcbsdswvpbnbahkotzwtynmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
25200941,[25199063],99955,99972,0,1,2,6,5974,xwxjagcxwjjagcvfnatranyyninrutboanwonmxvvvkbvxczocraocuwdmvqvthwvbvysiunwkbslpxvfcltpoztctwveuicwpvyorivyqyzvvvvfcjvvgado
13746401,[13741970],55644,55688,0,1,1,3600,3432,xwzjagcyhaoyqjcbojsahzkabkaxsvtbnbaseabrxdcmmfvcvdcdmdbscickavvqbvvsakdpvjtpsxqbvaydfvdvvyxwfydobazvvvvfcajvvgabnd
25101085,[25099394],99575,99582,0,1,1,14,5958,xwjjagcvajzbtljyyaywmbutzbnwjwfucvvvufvylzdcrsotqcwdcvuvximvyvasbzipupwlpcvftrmlpctovnbnbwqvezuomyqyzvvvvfcjvvgavx
12963597,[12961617],52606,52690,0,1,1,3600,3249,xwqjagcyhaoylocyzblahubcbsdswvpbnbahkotzwtynmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
12941670,[12939343],52520,52605,0,1,1,3600,3242,xwqjagcyhaoylocyzblahubcbsdswvpbjbahkotzwtokmcvqvpzpwkbjcixyavvpdvvsjidsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
12959819,[12958342],52590,52601,0,1,1,3600,3247,xwqjagcyhaoylocyzblahubcbsdswvpbnbahkotzwtykmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
25180793,[25175536],99878,99891,0,1,1,15,5964,xwijagcvajzbtljyyzybfbutzbnwoxflfvvvrfvwlzccrkmaccxdivxvxiavwvasbziyupwlpcvftsmdzctsvibtbwwvewuomyqyzvvvvfcjvvgaox
12953049,[12951024],52565,52589,0,1,1,3600,3245,xwqjagcyhaoylocyzblahubcbsdswvpbnbahkotzwtykmcvqvpzpwkbjcixyavvpdvvsridsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
12949252,[12941670],52550,52559,0,1,1,3600,3243,xwqjagcyhaoylocyzblahubcbsdswvpbjbahkotzwtokmcvqvpzpwkbjcixyavvpdvvsjidsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
12933503,[12929158],52488,52528,0,1,1,3600,3240,xwqjagcyhaoylocyzblahubcbsdswvpbjbahkotzwtokmcvqvpzpwkbjcixyavvpdvvsjidsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
12939343,[12933503],52511,52526,0,1,1,3600,3241,xwqjagcyhaoylocyzblahubcbsdswvpbjbahkotzwtokmcvqvpzpwkbjcixyavvpdvvsjidsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
12929158,[12923756],52471,52489,0,1,1,3600,3239,xwqjagcyhaoylocyzblahubcbsdswvpbjbahkotzwtokmcvqvpzpwkbjcixyavvpdvvsjidsvjopbxcvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
25199510,[25196411],99950,99967,0,1,1,3,5960,xwtjagcvvlnvonvyhytwyzvpvavxtlwmamyvzvdtiamxcatptctcpcoaczphmvydviokypzoclcweinlmlcznbedcnvzkoqnvzalqzvvvvfcjvvgaxx
25187127,[25185625],99902,99921,0,1,1,6,5957,xwtjagcvvlnvonvyhtytwybvpvavxtlwmamyvzvdtiamxcatatctcpcoaczphmvydviokypzoclcweinlmlcznbedcnvzkornvzalqzvvvvfcjvvgaxx
13114185,[13106412],53187,53200,0,1,1,3600,3282,xwmjagcyhaoylocyobsalcbabsdsovpbnbalkstqwtynmcvqvxzltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
25203939,[25202457],99966,99994,0,1,1,1,5968,xwjjagcvafiitlbyyaybfbutzsnwowflfvvvufvyleccrkmaccwdivnvxcmvwvasnziyuprwlpcvvxsmdjstsvibtbwwvewuomyxyzvvvvfcjvvgaox
12910000,[12908219],52397,52478,0,1,1,3600,3235,xwqjagcyhaoylocyzblajubcbsdswvpbjfahkotzwcokmcvqvpzpwkbjcixyavvpdvvsjidsvjopbocvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
12920190,[12918446],52437,52451,0,1,1,3600,3237,xwqjagcyhaoylocyzblahubcbsdswvpbjfahkotzwtokmcvqvpzpwkbjcixyavvpdvvsjidsvjopbocvvzyyfvovvdxwyyponazvvvvfcajvvgabrs
